s,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13145,68124,2355000,5
v,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5062,73435,2525000,3
w,0.0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,20255,166035,2840000,12
w,0.1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.2,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.3,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.4,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.5,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.6,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.7,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.8,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,0.9,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,22411,166035,2945000,13
w,1.0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,22512,155449,2995000,12
