s,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10309,78592,2865000,5
v,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,12325,136896,2620000,7
w,0.0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,17454,181203,3443000,11
w,0.1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,17997,181203,3593000,11
w,0.2,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,17997,181203,3593000,11
w,0.3,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,17997,181203,3593000,11
w,0.4,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,17997,181203,3593000,11
w,0.5,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,17997,181203,3593000,11
w,0.6,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,17997,181203,3593000,11
w,0.7,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,18087,179847,3600000,11
w,0.8,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,18087,179847,3600000,11
w,0.9,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,18434,161939,3459000,11
w,1.0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,18434,161939,3459000,11
