s,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6250,96578,1469500,7
v,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,5453,155893,1732000,8
w,0.0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,6548,175785,1935000,10
w,0.1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,6548,175785,1935000,10
w,0.2,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,7610,173558,1999500,10
w,0.3,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,7610,173558,1999500,10
w,0.4,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,7977,170920,1972500,11
w,0.5,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,7977,170920,1972500,11
w,0.6,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,7977,170920,1972500,11
w,0.7,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,8241,163343,1947500,11
w,0.8,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,8241,163343,1947500,11
w,0.9,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,8241,163343,1947500,11
w,1.0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,8241,163343,1947500,11
