1,2,3,8,5,7,9,4,10,6,3,1,2,1,23000000,19750000,6500000,26250000,3250000,23000000
1,2,4,8,5,7,9,3,10,6,4,1,2,1,23000000,19750000,7000000,26750000,3250000,23000000
1,2,5,7,4,6,3,8,9,10,5,1,2,2,21500000,16750000,7000000,23750000,4750000,21500000
1,2,6,7,4,5,3,8,9,10,6,1,2,2,21750000,17000000,7000000,24000000,4750000,21750000
1,2,7,6,4,5,3,8,9,10,7,1,2,2,22000000,17250000,7000000,24250000,4750000,22000000
1,2,8,6,4,5,3,7,9,10,8,1,2,2,22250000,17250000,7000000,24250000,5000000,22250000
1,2,9,6,4,5,3,7,8,10,9,1,2,2,22250000,17250000,7000000,24250000,5000000,22250000
1,2,10,6,4,5,3,7,8,9,10,1,2,2,22250000,17250000,7000000,24250000,5000000,22250000
1,3,4,8,5,7,9,2,10,6,4,1,3,1,23000000,19750000,7250000,27000000,3250000,23000000
1,3,5,7,4,6,2,8,9,10,5,1,3,2,21500000,16750000,7250000,24000000,4750000,21500000
1,3,6,7,4,5,2,8,9,10,6,1,3,2,21750000,17000000,7250000,24250000,4750000,21750000
1,3,7,6,4,5,2,8,9,10,7,1,3,2,22000000,17250000,7250000,24500000,4750000,22000000
1,3,8,6,4,5,2,7,9,10,8,1,3,2,22250000,17250000,7250000,24500000,5000000,22250000
1,3,9,6,4,5,2,7,8,10,9,1,3,2,22250000,17250000,7250000,24500000,5000000,22250000
1,3,10,6,4,5,2,7,8,9,10,1,3,2,22250000,17250000,7250000,24500000,5000000,22250000
1,4,5,7,3,6,2,8,9,10,5,1,4,2,22000000,17250000,7250000,24500000,4750000,22000000
1,4,6,7,3,5,2,8,9,10,6,1,4,2,22250000,17500000,7250000,24750000,4750000,22250000
1,4,7,6,3,5,2,8,9,10,7,1,4,2,22500000,17750000,7250000,25000000,4750000,22500000
1,4,8,6,3,5,2,7,9,10,8,1,4,2,22750000,17750000,7250000,25000000,5000000,22750000
1,4,9,6,3,5,2,7,8,10,9,1,4,2,22750000,17750000,7250000,25000000,5000000,22750000
1,4,10,6,3,5,2,7,8,9,10,1,4,2,22750000,17750000,7250000,25000000,5000000,22750000
1,5,6,7,3,4,2,9,8,10,6,1,5,2,23000000,18500000,7250000,25750000,4500000,23000000
1,5,7,8,3,4,2,9,6,10,7,1,5,2,22750000,18250000,7250000,25500000,4500000,22750000
1,5,8,7,3,4,2,9,6,10,8,1,5,2,23000000,18500000,7250000,25750000,4500000,23000000
1,5,9,6,3,4,2,10,7,8,9,1,5,2,22000000,18750000,7250000,26000000,3250000,22000000
1,5,10,7,3,4,2,9,6,8,10,1,5,2,23000000,18500000,7250000,25750000,4500000,23000000
1,6,7,8,3,4,2,9,5,10,7,1,6,2,22750000,18250000,7250000,25500000,4500000,22750000
1,6,8,7,3,4,2,9,5,10,8,1,6,2,23000000,18500000,7250000,25750000,4500000,23000000
1,6,9,5,3,4,2,10,7,8,9,1,6,2,22250000,19000000,7250000,26250000,3250000,22250000
1,6,10,7,3,4,2,9,5,8,10,1,6,2,23000000,18500000,7250000,25750000,4500000,23000000
1,7,8,5,3,4,2,10,6,9,8,1,7,2,22250000,19000000,7250000,26250000,3250000,22250000
1,7,9,6,3,5,2,8,4,10,9,1,7,2,22500000,17750000,7250000,25000000,4750000,22500000
1,7,10,8,3,4,2,9,5,6,10,1,7,2,22750000,18250000,7250000,25500000,4500000,22750000
1,8,9,6,3,5,2,7,4,10,9,1,8,2,22750000,17750000,7250000,25000000,5000000,22750000
1,8,10,7,3,4,2,9,5,6,10,1,8,2,23000000,18500000,7250000,25750000,4500000,23000000
1,9,10,6,3,5,2,7,4,8,10,1,9,2,22750000,17750000,7250000,25000000,5000000,22750000
2,3,4,7,5,6,1,8,9,10,4,2,3,2,20500000,15750000,8500000,24250000,4750000,20500000
2,3,5,7,4,6,1,8,9,10,5,2,3,2,21500000,16750000,8500000,25250000,4750000,21500000
2,3,6,7,4,5,1,8,9,10,6,2,3,2,21750000,17000000,8500000,25500000,4750000,21750000
2,3,7,6,4,5,1,8,9,10,7,2,3,2,22000000,17250000,8500000,25750000,4750000,22000000
2,3,8,6,4,5,1,7,9,10,8,2,3,2,22250000,17250000,8500000,25750000,5000000,22250000
2,3,9,6,4,5,1,7,8,10,9,2,3,2,22250000,17250000,8500000,25750000,5000000,22250000
2,3,10,6,4,5,1,7,8,9,10,2,3,2,22250000,17250000,8500000,25750000,5000000,22250000
2,4,5,7,3,6,1,8,9,10,5,2,4,2,22000000,17250000,8500000,25750000,4750000,22000000
2,4,6,7,3,5,1,8,9,10,6,2,4,2,22250000,17500000,8500000,26000000,4750000,22250000
2,4,7,6,3,5,1,8,9,10,7,2,4,2,22500000,17750000,8500000,26250000,4750000,22500000
2,4,8,6,3,5,1,7,9,10,8,2,4,2,22750000,17750000,8500000,26250000,5000000,22750000
2,4,9,6,3,5,1,7,8,10,9,2,4,2,22750000,17750000,8500000,26250000,5000000,22750000
2,4,10,6,3,5,1,7,8,9,10,2,4,2,22750000,17750000,8500000,26250000,5000000,22750000
2,5,6,7,3,4,1,9,8,10,6,2,5,2,23000000,18500000,8500000,27000000,4500000,23000000
2,5,7,8,3,4,1,9,6,10,7,2,5,2,22750000,18250000,8500000,26750000,4500000,22750000
2,5,8,7,3,4,1,9,6,10,8,2,5,2,23000000,18500000,8500000,27000000,4500000,23000000
2,5,9,6,3,4,1,10,7,8,9,2,5,2,22000000,18750000,8500000,27250000,3250000,22000000
