[8, 5, 7, 9, 4, 10, 6, 3, 1, 2][1, 1, 1, 1, 0, 1, 0, 0, 0, 0]OK
[8, 5, 7, 9, 3, 10, 6, 4, 1, 2][1, 1, 1, 1, 0, 1, 0, 0, 0, 0]OK
[7, 4, 6, 3, 8, 9, 10, 5, 1, 2][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 4, 5, 3, 8, 9, 10, 6, 1, 2][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 3, 8, 9, 10, 7, 1, 2][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 3, 7, 9, 10, 8, 1, 2][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 3, 7, 8, 10, 9, 1, 2][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 3, 7, 8, 9, 10, 1, 2][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[8, 5, 7, 9, 2, 10, 6, 4, 1, 3][1, 1, 1, 1, 0, 1, 0, 0, 0, 0]OK
[7, 4, 6, 2, 8, 9, 10, 5, 1, 3][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 4, 5, 2, 8, 9, 10, 6, 1, 3][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 2, 8, 9, 10, 7, 1, 3][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 2, 7, 9, 10, 8, 1, 3][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 2, 7, 8, 10, 9, 1, 3][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 4, 5, 2, 7, 8, 9, 10, 1, 3][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 6, 2, 8, 9, 10, 5, 1, 4][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 5, 2, 8, 9, 10, 6, 1, 4][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 5, 2, 8, 9, 10, 7, 1, 4][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 5, 2, 7, 9, 10, 8, 1, 4][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 5, 2, 7, 8, 10, 9, 1, 4][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 5, 2, 7, 8, 9, 10, 1, 4][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 4, 2, 9, 8, 10, 6, 1, 5][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[8, 3, 4, 2, 9, 6, 10, 7, 1, 5][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 4, 2, 9, 6, 10, 8, 1, 5][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 4, 2, 10, 7, 8, 9, 1, 5][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 4, 2, 9, 6, 8, 10, 1, 5][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[8, 3, 4, 2, 9, 5, 10, 7, 1, 6][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 4, 2, 9, 5, 10, 8, 1, 6][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[5, 3, 4, 2, 10, 7, 8, 9, 1, 6][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[7, 3, 4, 2, 9, 5, 8, 10, 1, 6][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[5, 3, 4, 2, 10, 6, 9, 8, 1, 7][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 5, 2, 8, 4, 10, 9, 1, 7][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[8, 3, 4, 2, 9, 5, 6, 10, 1, 7][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
[6, 3, 5, 2, 7, 4, 10, 9, 1, 8][1, 1, 1, 0, 1, 0, 0, 0, 0, 0]OK
