s,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10216,104411,3523000,8
v,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,5249,174634,2769000,7
w,0.0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,12102,241132,3525000,13
w,0.1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,12102,241132,3525000,13
w,0.2,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,12102,241132,3525000,13
w,0.3,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,12962,234388,3462000,13
w,0.4,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,12962,234388,3462000,13
w,0.5,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,13462,227334,3582000,13
w,0.6,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,13826,216746,3460000,13
w,0.7,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,13826,216746,3460000,13
w,0.8,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,13826,216746,3460000,13
w,0.9,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,13826,216746,3460000,13
w,1.0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,13826,216746,3460000,13
