s,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457,41025,2435000,3
v,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2992,136426,3010000,4
w,0.0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,8725,219395,3047000,10
w,0.1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,8744,219395,3142000,10
w,0.2,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,8744,219395,3142000,10
w,0.3,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,10949,202010,3132000,11
w,0.4,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,10949,202010,3132000,11
w,0.5,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,10949,202010,3132000,11
w,0.6,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,10949,202010,3132000,11
w,0.7,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,10949,202010,3132000,11
w,0.8,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,10949,202010,3132000,11
w,0.9,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,11134,182490,3157000,10
w,1.0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,11134,182490,3157000,10
