s,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3339,91112,1860000,4
v,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,4275,167313,2172500,7
w,0.0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,4859,167836,2032500,8
w,0.1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.2,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.3,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.4,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.5,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.6,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.7,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.8,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,0.9,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
w,1.0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,4996,167836,2182500,8
